country,date,lineage,n
South Korea,2022-06-19,BA.5.6,1
South Korea,2022-06-19,BA.4.1,2
South Korea,2022-06-18,BA.2,17
South Korea,2022-06-18,BA.2.3.12,5
South Korea,2022-06-18,BA.4,3
South Korea,2022-06-18,BA.2.3.2,1
South Korea,2022-06-18,BA.2.12.1,5
United Kingdom,2021-12-07,AY.98.1.1,1
United Kingdom,2021-12-07,AY.131,1
South Korea,2020-06-28,Unassigned,1
United Kingdom,2021-12-08,BA.1.7,3
South Korea,2022-06-18,BA.2.3.14,4
South Korea,2022-06-18,BA.5.1.22,4
South Korea,2022-06-18,BA.5.10,2
South Korea,2022-06-18,BA.5.5,1
South Korea,2022-06-18,BA.2.68,2
United Kingdom,2021-12-06,BA.1.1.12,1
South Korea,2022-06-17,BA.2.56,1
South Korea,2022-06-17,BA.2.3,27
South Korea,2022-06-17,BA.2,32
South Korea,2022-06-17,BA.2.3.12,8
South Korea,2022-06-17,BA.5.5,6
South Korea,2022-06-17,BA.2.68,2
South Korea,2022-06-17,BA.2.12.1,6
South Korea,2022-06-16,BA.2.3.12,1
South Korea,2022-06-16,BA.2.3.14,6
South Korea,2022-06-16,BA.2,13
South Korea,2022-06-15,BA.4.1,1
South Korea,2022-06-15,BA.5.5,7
South Korea,2022-06-14,BA.4,2
South Korea,2022-06-14,BA.2.3.5,1
South Korea,2022-06-14,BA.5.2,5
South Korea,2022-06-14,BA.5.8,2
South Korea,2022-06-14,BA.2,24
South Korea,2022-06-13,BA.2,15
South Korea,2022-06-13,BA.2.3,22
South Korea,2022-06-13,BA.5.6,2
South Korea,2022-06-13,BA.2.68,4
South Korea,2022-06-13,BA.5.2.1,1
South Korea,2022-06-12,BA.5.1,6
South Korea,2022-06-12,BA.5.2,8
South Korea,2022-06-12,BA.5.2.1,9
South Korea,2022-06-12,BA.2,23
South Korea,2022-06-11,BA.2.3.14,4
South Korea,2022-06-11,BA.5.1,3
South Korea,2022-06-11,BA.5.2.20,1
South Korea,2022-06-11,BA.5.8,1
South Korea,2022-06-11,BA.5.2.2,1
South Korea,2022-06-11,BA.5.1.10,1
South Korea,2022-06-09,BF.21,1
South Korea,2022-06-09,BA.5,1
South Korea,2022-06-09,BA.4.1,4
South Korea,2022-06-09,BA.5.3.2,1
South Korea,2022-06-09,BA.5.2,8
South Korea,2022-06-09,BF.5,1
South Korea,2022-06-08,BA.5.2.1,4
South Korea,2022-06-08,BA.5.1,7
South Korea,2022-06-07,BA.5.5,8
South Korea,2022-06-06,BA.5.2,3
South Korea,2022-06-05,BE.1,1
South Korea,2022-06-01,BA.5.2,4
South Korea,2022-05-31,BA.5.1,2
South Korea,2022-05-11,BA.5.2,1
United Kingdom,2020-12-06,B.1.177.87,4
United Kingdom,2021-08-29,AY.47,2
United Kingdom,2021-02-17,B.1.177.58,2
United Kingdom,2021-02-18,B.1.177.58,2
United Kingdom,2021-02-13,B.1.177.58,6
United Kingdom,2021-02-14,B.1.160,2
United Kingdom,2021-02-15,B.1.177.58,6
United Kingdom,2021-02-13,B.1.177.15,2
United Kingdom,2021-03-03,B.1.36,1
United Kingdom,2021-03-06,Q.1,1
United Kingdom,2021-08-31,AY.54,1
United Kingdom,2021-03-04,B.1.36,2
United Kingdom,2021-02-28,B.1.258.4,1
United Kingdom,2021-02-28,A.29,1
United Kingdom,2021-03-02,B.1.258,2
United Kingdom,2021-03-02,B.1,1
