"country","lineage","peak_share","peak_share_logit","peak_share_cat"
"Brazil","BA.2.23 (BA.2.23)",0.0343221601664114,-3.33703906490149,"<0.10"
"Brazil","BA.2.56 (BA.2.56)",0.0736570405915856,-2.53182479900017,"0.10–0.20"
"Brazil","BA.2.81 (BA.2.81)",0.0323888857893577,-3.39701493228194,"<0.10"
"Brazil","BA.2.9 (BA.2.9)",0.0886300698827738,-2.3304776959892,"0.10–0.20"
"Brazil","BA.4 (BA.4)",0.155504973502595,-1.69206113189651,"0.10–0.20"
"Brazil","BA.4.1 (BA.4.1)",0.100691245999271,-2.18956755265277,"0.10–0.20"
"Brazil","BA.4.6 (BA.4.6)",0.196538382252668,-1.40807167344428,"0.10–0.20"
"Brazil","BA.5 (BA.5)",0.0448641156996999,-3.05821534727706,"<0.10"
"Brazil","BA.5.1 (BA.5.1)",0.286531165496502,-0.912291445888914,">0.20"
"Brazil","BA.5.2 (BA.5.2)",0.0722858933931862,-2.55209461254384,"0.10–0.20"
"Brazil","BC (BA.1.1.1)",0.0380831424642052,-3.22915629103992,"<0.10"
"Brazil","BC4 (BA.1.1.14)",0.0442400752935626,-3.07287569758354,"<0.10"
"Brazil","BD (BA.1.17.2)",0.0384524460892132,-3.21912171051845,"<0.10"
"Brazil","BE.10",0.120331740584933,-1.9892924250199,"0.10–0.20"
"Brazil","BE.9",0.426398766855873,-0.296559458257547,">0.20"
"Brazil","BF (BA.5.2.1)",0.476522504903665,-0.0939790884993203,">0.20"
"Brazil","BF.39",0.0242636238672721,-3.6942141749188,"<0.10"
"Brazil","BG (BA.2.12.1)",0.0367180156123243,-3.26707866438058,"<0.10"
"Brazil","BQ.1",0.0795738070901948,-2.44815183389383,"0.10–0.20"
"Brazil","BQ.1.1",0.599008975460258,0.401337537714912,">0.20"
"Brazil","BQ.1.1.60",0.0341086135549548,-3.34350144218704,"<0.10"
"Brazil","DL (BA.5.1.15)",0.0438857403724288,-3.08128797770666,"<0.10"
"Brazil","DL.1",0.201667836990794,-1.37590278261056,">0.20"
"Brazil","FE (XBB.1.18.1)",0.237757667128453,-1.16501257766382,">0.20"
"Brazil","FE.1",0.189045937185227,-1.45622137044907,"0.10–0.20"
"Brazil","FE.1.2",0.295664611758515,-0.868028902932535,">0.20"
"Brazil","GK (XBB.1.5.70)",0.179705302730887,-1.51834536045634,"0.10–0.20"
"Brazil","GK.1",0.237346906955469,-1.16728045275518,">0.20"
"Brazil","GK.1.1",0.281743217772834,-0.935831059686831,">0.20"
"Brazil","HA (XBB.1.5.86)",0.151022357356964,-1.72660496438934,"0.10–0.20"
"Brazil","JD (XBB.1.5.102)",0.191002034874399,-1.44351231997686,"0.10–0.20"
"Brazil","JD.1",0.176242804814233,-1.54201320334018,"0.10–0.20"
"Brazil","JD.1.1",0.378135401344067,-0.49747004590001,">0.20"
"Brazil","JD.1.1.1",0.18269764349363,-1.49817654272777,"0.10–0.20"
"Brazil","JD.2",0.420252226989463,-0.321738063359267,">0.20"
"Brazil","JN.1",0.188057995429561,-1.46267851308285,"0.10–0.20"
"Brazil","JN.1.1",0.224378516476283,-1.24033019077865,">0.20"
"Brazil","JN.1.29",0.112323353252054,-2.06722574584934,"0.10–0.20"
"Brazil","JN.1.43.1",0.127381056364464,-1.92431593194336,"0.10–0.20"
"Brazil","N.9",0.0731860950665722,-2.53874735079479,"0.10–0.20"
"Brazil","P (B.1.1.28)",0.544284295350333,0.177602551724106,">0.20"
"Brazil","P.1",0.851120428860179,1.74341590133175,">0.20"
"Brazil","P.1.14",0.135387453021027,-1.85414079385153,"0.10–0.20"
"Brazil","P.1.4",0.0445001396186839,-3.06674229089346,"<0.10"
"Brazil","P.1.7",0.129026294102095,-1.90959557415038,"0.10–0.20"
"Brazil","P.2",0.584681648006657,0.342022168277644,">0.20"
"Brazil","P.7",0.0742471145789531,-2.52320842059761,"0.10–0.20"
"Brazil","Q (B.1.1.7)",0.0430137556677284,-3.10226905382496,"<0.10"
"Brazil","XBB",0.00900251834550628,-4.70120763874796,"<0.10"
"Brazil","XBB.1",0.0410856239010888,-3.15014350944374,"<0.10"
"Brazil","XBB.1.18",0.075858377894715,-2.49999717742162,"0.10–0.20"
"Brazil","XBB.1.5",0.318120538062258,-0.762422538727053,">0.20"
"Brazil","XDR",0.164273873210839,-1.62676596628132,"0.10–0.20"
"Canada","A",0.207187294750096,-1.34196381895031,">0.20"
"Canada","AE.8",0.321323571623769,-0.747695845840568,">0.20"
