"country","lineage","slope_log","slope_y_1_7","peak_val","auc_norm","longest_inc_run","zero_count","c22_DN_HistogramMode_5","c22_DN_HistogramMode_10","c22_CO_f1ecac","c22_CO_FirstMin_ac","c22_CO_HistogramAMI_even_2_5","c22_CO_trev_1_num","c22_MD_hrv_classic_pnn40","c22_SB_BinaryStats_mean_longstretch1","c22_SB_TransitionMatrix_3ac_sumdiagcov","c22_PD_PeriodicityWang_th0_01","c22_CO_Embed2_Dist_tau_d_expfit_meandiff","c22_IN_AutoMutualInfoStats_40_gaussian_fmmi","c22_FC_LocalSimple_mean1_tauresrat","c22_DN_OutlierInclude_p_001_mdrmd","c22_DN_OutlierInclude_n_001_mdrmd","c22_SP_Summaries_welch_rect_area_5_1","c22_SB_BinaryStats_diff_longstretch0","c22_SB_MotifThree_quantile_hh","c22_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1","c22_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1","c22_SP_Summaries_welch_rect_centroid","c22_FC_LocalSimple_mean3_stderr"
"Canada","B.1.36.18",-0.23422843911806,-0.00883458646616542,0.1,0.00726817042606516,1,19,0.11313727544077,-0.093935077315502,1.60936932633123,3,0.0060232457322229,-3.55161879241018,0.15,2,0.216666666666667,3,0.136885267717432,11,1,-0.714285714285714,0.142857142857143,0.173068012780982,2,0.518186213050213,0,0,1.570796326795,0.691745412995988
"Canada","B.1.36.36",0.370168664543962,-0.00357142857142857,0.113207547169811,0.01997974023827,2,9,-0.311806777040708,-0.515634814014077,1.67162199344543,2,0.111701845172567,0.568397776807473,0.7,4,0.0625,2,0.140313130553136,1,0.2,0.714285714285714,-0.333333333333333,0.248811671128801,3,2.08200736186528,0,0,1.76714586764437,1.09553346808512
"Canada","B.1.36.37",-0.125210237479951,-0.00164835164835165,0.0153846153846154,0.000732600732600733,0,20,0.240039679259592,0.0109108945117996,1.63061908481708,21,0,-4.81170447970364,0.05,1,0.285833333333333,0,0.154428516563958,11,1,-0.904761904761905,0.0952380952380953,0.141604822772246,1,0.198515243345873,0,0,1.570796326795,0.360041149911548
"Canada","B.1.422",-0.0203051824818623,-0.000771103914109135,0.0462962962962963,0.0208222097836876,2,2,-0.540743483902567,-0.360206473349477,1.43256697456483,1,0.47498962248111,-0.111832241620522,1,3,0.00916666666666667,4,0.156901809490066,1,1,-0.0476190476190477,0.0476190476190477,0.0320720038930756,3,2.1116308425056,0,0,2.55254403104187,1.2310617327508
"Canada","B.1.438.1",-0.122842593873154,-0.00137362637362637,0.0128205128205128,0.00061050061050061,0,20,0.240039679259592,0.0109108945117996,1.63061908481708,21,0,-4.81170447970364,0.05,1,0.285833333333333,0,0.154428516563958,11,1,-0.904761904761905,0.0952380952380953,0.141604822772246,1,0.198515243345873,0,0,1.570796326795,0.360041149911548
"Canada","B.1.525",-0.127332503937113,-0.00194099378881988,0.0181159420289855,0.000862663906142167,0,20,0.240039679259591,0.0109108945117996,1.63061908481708,21,0,-4.81170447970362,0.05,1,0.285833333333333,0,0.154428516563958,11,1,-0.904761904761905,0.0952380952380953,0.141604822772245,1,0.198515243345873,0,0,1.570796326795,0.360041149911548
"Canada","B.1.564.1",-0.357261465232774,-0.00304347826086956,0.0217391304347826,0.00341030949726602,1,17,-0.168636671476308,-0.31689067956894,1.70280610540683,1,0.153695543035411,-0.695844385097413,0.3,3,0.111111111111111,0,0.0611595595142702,5,0.166666666666667,-0.666666666666667,0.238095238095238,0.29448564969805,3,0.914285581467099,0,0,1.37444678594563,0.784500582676232
"Canada","BA.1 (BA.1)",0.106852510964047,0.0183824097463453,0.27944760357433,0.173833724666306,7,0,0.943354420027692,0.943354420027692,5.52133795018683,12,0.794964599304694,0.0499590167232415,0.95,10,0.166666666666667,5,0.447173189563096,11,0.142857142857143,0.571428571428571,-0.666666666666667,0.768038771675069,4,1.66958012698141,0,0,0.196349540849375,0.35278014820687
"Canada","BA.1.1 (BA.1.1)",0.215828799803628,-0.000412262056696257,0.19469696969697,0.0631310684797796,3,0,-0.665334746889956,-0.819683654829851,5.71244963345083,14,1.04834696212518,0.0582647927391988,1,8,0.166666666666667,3,0.304402644142045,1,0.142857142857143,0.761904761904762,-0.476190476190476,0.752215331128537,2,1.38314875124874,0,0,0.196349540849375,0.421355292808004
"Canada","BA.1.15 (BA.1.15)",0.103136883941671,0.00551905333858202,0.121443442054129,0.0695150310494397,4,0,0.520470488348438,0.673705014573929,5.30525950923401,11,0.821919818902618,-0.0218217344136345,0.75,10,0.166666666666667,0,0.294133612060291,3,0.125,0.666666666666667,-0.619047619047619,0.749778772932425,3,1.66958012698141,0,0,0.196349540849375,0.462187539651063
"Canada","BA.1.17 (BA.1.17)",-0.0794718470736547,0.00916562414833175,0.062667860340197,0.0244295126613716,4,0,-0.768820194611091,-0.923908894040436,4.10036356467097,10,0.671508593290279,-0.471640847879762,0.9,7,0.111111111111111,4,0.0133618788476203,4,0.166666666666667,-0.380952380952381,0.523809523809524,0.674875060186801,4,1.89105311137683,0,0,0.39269908169875,0.832705537147296
"Canada","BA.1.18 (BA.1.18)",0.0344736505358821,0.00523497448841232,0.0537848605577689,0.0360959649877815,2,0,0.448563648005933,0.657123315106873,2.13843667659335,2,0.344831302430909,0.472616078789178,1,6,0.04,5,0.0860994444257744,1,0.25,0.238095238095238,-0.80952380952381,0.360935231128964,4,2.12862074618514,0,0,0.7853981633975,0.787261373574721
"Canada","BA.1.20 (BA.1.20)",0.00619414023549377,0.00731246415986888,0.0618279569892473,0.0406891189254682,4,0,-0.225951780935553,1.26439579353618,2.57296006283832,4,0.408038793008053,-0.0705397474339992,0.9,6,0.04,0,0.0528419160933283,2,0.25,-0.0952380952380952,0.523809523809524,0.453494269057966,4,1.84790080050907,0,0,0.7853981633975,0.957894796344072
"Canada","BA.2 (BA.2)",0.0857817269334748,0.00243715724196118,0.0637982195845697,0.0343983602616467,4,0,-0.624904042294059,0.467934863819225,5.04514649821275,12,0.510067558356556,0.156274916091326,1,8,0.166666666666667,0,0.0975902101757646,3,0.125,0.714285714285714,-0.666666666666667,0.688216432325232,4,1.77512500900097,0,0,0.196349540849375,0.470069835717375
"Canada","BA.2.3 (BA.2.3)",0.0700385121054728,0.00113665102879041,0.0305997552019584,0.018025327185299,3,0,-0.446375581949874,0.0599447174479084,4.54338104367207,13,0.798275767590115,-0.081971677751395,0.95,7,0.166666666666667,5,0.221011191209752,1,0.125,0.761904761904762,-0.523809523809524,0.621638429397567,3,1.84790080050907,0,0,0.196349540849375,0.606171228019283
"Canada","BA.4 (BA.4)",0.058047122544183,-0.000711756373469689,0.0417633410672854,0.0195904595602586,2,0,-0.0900822448039702,-0.638429564401232,1.85033599930022,2,0.443807011280768,0.292567850761037,0.95,6,0.166666666666667,0,0.237026306459939,1,0.125,0.523809523809524,-0.380952380952381,0.410342520375233,4,2.15478315337337,0,0,1.17809724509625,0.929085643660338
"Canada","BA.4.1 (BA.4.1)",0.0695595757247672,0.000919283676682158,0.0479616306954436,0.024735468062793,5,0,-1.05174729876496,-1.21607570815453,3.7520052597204,6,0.593628058179018,-0.0209392534909449,0.95,7,0.111111111111111,0,0.345607856802138,4,0.166666666666667,0.80952380952381,-0.523809523809524,0.506533051724386,3,1.91721551856506,0,0,0.196349540849375,0.722218195590118
"Canada","BA.4.6 (BA.4.6)",0.222429251090774,0.000587436490535399,0.0401891252955083,0.00910613868769737,4,2,-0.572981258736632,-0.120325629057798,1.78804593541892,2,0.0954000707497554,0.94918635973276,0.95,3,0.0133333333333333,0,0.091270538965128,3,0.5,0.428571428571429,-0.523809523809524,0.167258175774932,3,2.1809455605616,0,0,1.37444678594563,1.04294979800884
"Canada","BA.5 (BA.5)",0.00974504001935063,-0.0027332969108489,0.0183246073298429,0.00970585240339699,4,0,-0.247301947922198,-0.142901661111985,1.95470748058118,4,0.420162959968264,-0.609737187543656,0.9,4,0.00333333333333333,0,0.154001672000896,1,0.5,-0.0952380952380952,-0.285714285714286,0.134705006889805,5,2.08546843531737,0,0,0.7853981633975,1.20107869745446
"Canada","BA.5.1 (BA.5.1)",0.191215587020432,6.49940629004493e-05,0.0654450261780105,0.0244830136488983,2,1,-0.997068558317886,0.639852700323348,4.60679134875417,9,0.553964515231199,0.366842867055398,0.9,8,0.166666666666667,4,0.175280847551877,2,0.125,0.904761904761905,-0.476190476190476,0.605608518038188,5,1.8047484896413,0,0,0.196349540849375,0.607062897522242
"Canada","BA.5.1.1 (BA.5.1.1)",0.0177407864208238,0.00072225434553585,0.0172413793103448,0.0100392068710691,4,0,-0.0473742289362518,-0.221044484998638,1.67104913608923,1,0.359556229061037,-0.508739771433506,0.95,3,0.0462962962962963,4,0.169135147136209,2,0.333333333333333,0.428571428571429,0.0952380952380953,0.0774380375627536,3,2.15478315337337,0,0,1.17809724509625,1.16634136356469
"Canada","BA.5.1.30 (BA.5.1.30)",-0.0319771414154574,-0.00300418737116667,0.02,0.00863201266524089,3,0,-0.216032310970133,-0.0303227422231661,2.1367832514403,5,0.499469919645667,-0.490431901120036,1,3,0.04,5,0.0781428191697202,2,0.25,-0.80952380952381,0.0952380952380953,0.200405159920692,3,2.15478315337337,0,0,0.589048622548125,0.950503364778141
